cliente_id,razon_social,ciudad,tipo_cliente,fecha_alta,canal_captacion
C00001,Cliente 00001,Guayaquil,Minorista,2023-02-27,Punto de venta
C00002,Cliente 00002,Quito,Mayorista,2025-09-15,Redes sociales
C00003,Cliente 00003,Guayaquil,Minorista,2024-03-10,Punto de venta
C00004,Cliente 00004,Quito,Minorista,2024-03-25,Referido
C00005,Cliente 00005,Cuenca,Minorista,2023-01-26,Redes sociales
C00006,Cliente 00006,Guayaquil,Minorista,,Punto de venta
C00007,Cliente 00007,Guayaquil,Minorista,2024-07-16,Visita comercial
C00008,Cliente 00008,Quito,Minorista,2021-09-15,Visita comercial
C00009,Cliente 00009,Guayaquil,Minorista,2022-07-29,Punto de venta
C00010,Cliente 00010,Quito,Minorista,2024-03-01,Referido
C00011,Cliente 00011,Quito,Minorista,2024-04-07,Visita comercial
C00012,Cliente 00012,Quito,Minorista,2021-12-09,Referido
C00013,Cliente 00013,Loja,Minorista,2024-12-26,Referido
C00014,Cliente 00014,Manta,Minorista,2023-11-30,Redes sociales
C00015,Cliente 00015,Cuenca,Minorista,2022-07-30,Punto de venta
C00016,Cliente 00016,Quito,Mayorista,2024-10-30,Punto de venta
C00017,Cliente 00017,Loja,Minorista,2025-11-16,Punto de venta
C00018,Cliente 00018,Cuenca,Minorista,2023-05-23,Punto de venta
C00019,Cliente 00019,Cuenca,Minorista,2022-10-11,Referido
C00020,Cliente 00020,Guayaquil,Minorista,2022-11-06,Punto de venta
C00021,Cliente 00021,Quito,Minorista,2024-02-18,Visita comercial
C00022,Cliente 00022, Quito,Mayorista,2021-09-28,Visita comercial
C00023,Cliente 00023,Manta,Mayorista,2023-08-27,Punto de venta
C00024,Cliente 00024,Guayaquil,Minorista,2021-08-23,Punto de venta
C00025,Cliente 00025,Quito,Minorista,2021-09-14,Referido
C00026,Cliente 00026,Quito,Mayorista,2023-06-03,Punto de venta
C00027,Cliente 00027,Guayaquil ,Minorista,2024-10-19,Redes sociales
C00028,Cliente 00028,Quito,Minorista,,Referido
C00029,Cliente 00029,Manta ,Minorista,2021-12-02,Referido
C00030,Cliente 00030,Cuenca,Minorista,2022-08-09,Visita comercial
C00031,Cliente 00031,Cuenca,Minorista,2023-05-20,Redes sociales
C00032,Cliente 00032,Guayaquil,Minorista,2024-01-19,Referido
C00033,Cliente 00033,Guayaquil,Mayorista,2025-11-10,Redes sociales
C00034,Cliente 00034,Guayaquil,Minorista,2024-07-13,Visita comercial
C00035,Cliente 00035,Guayaquil,Minorista,2023-11-23,Punto de venta
C00036,Cliente 00036,Quito,Minorista,2021-10-20,Redes sociales
C00037,Cliente 00037,Guayaquil,Minorista,2021-11-21,Punto de venta
C00038,Cliente 00038,Quito,Minorista,2022-03-16,Visita comercial
C00039,Cliente 00039,Guayaquil,Minorista,2024-06-06,Redes sociales
C00040,Cliente 00040,Quito,Minorista,2022-12-27,Punto de venta
C00041,Cliente 00041,Quito,Minorista,2022-08-04,Referido
C00042,Cliente 00042,Quito,Minorista,2024-06-21,Visita comercial
C00043,Cliente 00043,Guayaquil,Minorista,2025-02-08,Referido
C00044,Cliente 00044,Quito,Minorista,2023-06-17,Referido
C00045,Cliente 00045,Loja,Minorista,2025-05-25,Referido
C00046,Cliente 00046,Guayaquil,Minorista,2024-10-01,Referido
C00047,Cliente 00047,Quito,Mayorista,2024-09-03,Referido
C00048,Cliente 00048,Guayaquíl,Minorista,2025-05-03,Redes sociales
