cliente_id,tipo_cliente,ciudad,grupo,convirtio
C01592,Mayorista,Manta,Control,1
C00944,Minorista,Guayaquil,Tratamiento,1
C00870,Mayorista,Cuenca,Control,0
C00163,Minorista,Guayaquil,Tratamiento,0
C01272,Mayorista,Cuenca,Tratamiento,0
C00071,Minorista,Cuenca,Control,0
C00248,Minorista,Quito,Control,0
C00323,Minorista,Loja,Tratamiento,0
C01660,Minorista,Cuenca,Tratamiento,0
C01005,Mayorista,Guayaquil,Control,0
C01663,Mayorista,Guayaquil,Tratamiento,0
C00910,Minorista,Guayaquil,Tratamiento,0
C01226,Minorista,Guayaquil,Tratamiento,0
C00902,Mayorista,Quito,Tratamiento,1
C00592,Minorista,Quito,Tratamiento,0
C01274,Mayorista,Cuenca,Control,0
C00555,Minorista,Manta,Tratamiento,0
C01062,Mayorista,Guayaquil,Control,1
C00530,Minorista,Cuenca,Tratamiento,1
C01720,Minorista,Quito,Tratamiento,0
C00722,Minorista,Guayaquil,Tratamiento,0
C00562,Minorista,Cuenca,Tratamiento,0
C00539,Minorista,Guayaquil,Control,0
C01254,Minorista,Quito,Tratamiento,0
C00496,Minorista,Quito,Tratamiento,0
C00651,Minorista,Quito,Tratamiento,1
C00716,Minorista,Manta,Control,0
C00531,Minorista,Quito,Tratamiento,1
C01574,Minorista,Quito,Tratamiento,0
C01583,Mayorista,Manta,Tratamiento,0
C01724,Minorista,Quito,Tratamiento,0
C01299,Minorista,Quito,Tratamiento,0
C00472,Mayorista,Guayaquil,Control,1
C01345,Minorista,Guayaquil,Tratamiento,0
C00290,Minorista,Loja,Tratamiento,0
C01562,Minorista,Manta,Tratamiento,0
C01634,Minorista,Quito,Tratamiento,0
C00620,Mayorista,Cuenca,Control,0
C01428,Minorista,Manta,Control,0
C00661,Minorista,Guayaquil,Tratamiento,0
C01487,Minorista,Manta,Tratamiento,1
C01356,Mayorista,Quito,Control,0
C01741,Minorista,Guayaquil,Tratamiento,0
C00353,Minorista,Guayaquil,Tratamiento,0
C00552,Minorista,Cuenca,Tratamiento,0
C00066,Minorista,Quito,Control,0
C01349,Minorista,Loja,Tratamiento,0
C00325,Minorista,Cuenca,Tratamiento,0
C01135,Minorista,Quito,Control,0
C01644,Minorista,Loja,Tratamiento,0
C00252,Minorista,Quito,Tratamiento,0
