mes,inversion_radio,inversion_digital,inversion_volantes,ventas_mes
2024-01-01,757.0,6038.0,751.0,58033.51
2024-02-01,2492.0,4828.0,641.0,47975.85
2024-03-01,2064.0,5716.0,683.0,60041.66
2024-04-01,423.0,3737.0,718.0,67616.86
2024-05-01,1377.0,5997.0,1114.0,87784.49
2024-06-01,1816.0,6152.0,1299.0,76131.45
2024-07-01,2319.0,5584.0,1445.0,83301.87
2024-08-01,1147.0,4557.0,1299.0,74443.69
2024-09-01,1181.0,1390.0,1431.0,77562.1
2024-10-01,2475.0,2546.0,1359.0,86191.39
2024-11-01,1536.0,2537.0,1972.0,93065.52
2024-12-01,1465.0,1760.0,2137.0,122347.46
2025-01-01,748.0,6082.0,1014.0,79009.85
2025-02-01,1944.0,2181.0,954.0,73283.51
2025-03-01,2329.0,908.0,1817.0,92661.34
2025-04-01,1602.0,1230.0,1523.0,91924.72
2025-05-01,641.0,5195.0,2125.0,108741.56
2025-06-01,1109.0,5921.0,1916.0,97564.99
2025-07-01,2394.0,1508.0,1829.0,113701.94
2025-08-01,728.0,4497.0,1823.0,108874.96
2025-09-01,1396.0,5105.0,1680.0,106407.02
2025-10-01,890.0,2332.0,2034.0,107985.18
2025-11-01,2480.0,3262.0,2407.0,125639.06
2025-12-01,1272.0,5754.0,2542.0,132316.88
2026-01-01,1852.0,1324.0,1529.0,99437.36
2026-02-01,1882.0,2024.0,1674.0,92769.98
2026-03-01,802.0,2522.0,1772.0,105283.22
2026-04-01,2116.0,2397.0,1842.0,102768.88
2026-05-01,1259.0,2143.0,2329.0,128172.8
2026-06-01,2419.0,6712.0,1761.0,106388.25
2026-07-01,1988.0,1043.0,120.0,-776.8
