factura_id,fecha,cliente_id,sucursal_id,producto_id,cantidad,precio_unitario,descuento,es_devolucion
F103380,2024-01-01,C00381,S99,P0070,3,1.02,0.0,False
F103380,2024-01-01,C00381,S99,P0054,2,2.84,0.0,False
F103380,2024-01-01,C00381,S99,P0001,3,1.12,0.0,False
F103380,2024-01-01,C00381,S99,P0009,4,0.81,0.0,False
F103541,2024-01-01,C00405,S99,P0016,4,1.85,0.0,False
F103541,2024-01-01,C00405,S99,P0014,2,0.74,0.0,False
F103541,2024-01-01,C00405,S99,P0047,2,2.65,0.0,False
F103541,2024-01-01,C00405,S99,P0062,1,4.26,0.0,False
F103541,2024-01-01,C00405,S99,P0031,4,2.52,0.0,False
F103541,2024-01-01,C00405,S99,P0057,1,4.91,0.0,False
F104405,2024-01-01,C00510,S03,P0054,3,2.84,0.0,False
F104405,2024-01-01,C00510,S03,P0032,3,2.15,0.0,False
F104405,2024-01-01,C00510,S03,P0063,4,1.03,0.0,False
F104405,2024-01-01,C00510,S03,P0054,3,2.84,0.0,False
F104405,2024-01-01,C00510,S03,P0060,3,5.04,0.0,False
F107680,2024-01-01,C00875,S02,P0037,57,3.93,0.0,False
F107680,2024-01-01,C00875,S02,P0034,24,2.12,0.1,False
F107680,2024-01-01,C00875,S02,P0047,16,2.65,0.0,False
F107680,2024-01-01,C00875,S02,P0054,10,2.84,0.0,False
F107680,2024-01-01,C00875,S02,P0027,40,3.19,0.05,False
F107680,2024-01-01,C00875,S02,P0034,18,2.12,0.15,False
F107680,2024-01-01,C00875,S02,P0024,24,1.95,0.0,False
F107680,2024-01-01,C00875,S02,P0066,56,0.89,0.0,False
F107680,2024-01-01,C00875,S02,P0025,23,1.36,0.0,False
F108833,2024-01-01,C01000,S99,P0074,1,1.01,0.0,False
F108833,2024-01-01,C01000,S99,P0053,4,2.67,0.0,False
F108833,2024-01-01,C01000,S99,P0063,2,1.03,0.0,False
F108833,2024-01-01,C01000,S99,P0066,4,0.89,0.15,False
F108833,2024-01-01,C01000,S99,P0036,2,2.02,0.15,False
F108833,2024-01-01,C01000,S99,P0073,2,1.17,0.05,False
F110077,2024-01-01,C01117,S03,P0057,2,4.91,0.0,False
F110077,2024-01-01,C01117,S03,P0055,3,2.9,0.05,False
F110077,2024-01-01,C01117,S03,P0047,2,2.65,0.0,False
F110077,2024-01-01,C01117,S03,P0039,3,3.94,0.1,False
F110077,2024-01-01,C01117,S03,P0060,2,5.04,0.0,False
F110077,2024-01-01,C01117,S03,P0017,1,1.51,0.0,False
F110853,2024-01-01,C01220,S02,P0002,3,1.04,0.0,False
F110853,2024-01-01,C01220,S02,P0014,4,0.74,0.0,False
F110853,2024-01-01,C01220,S02,P0016,1,1.85,0.0,False
F110853,2024-01-01,C01220,S02,P0029,3,2.85,0.0,False
F110853,2024-01-01,C01220,S02,P0034,1,2.12,0.0,False
F113292,2024-01-01,C01518,S01,P0036,19,2.02,0.0,False
F113292,2024-01-01,C01518,S01,P0062,23,4.26,0.0,False
F113292,2024-01-01,C01518,S01,P0042,58,3.98,0.15,False
F115413,2024-01-01,C01737,S99,P0056,43,5.86,0.0,False
F115413,2024-01-01,C01737,S99,P0073,16,1.17,0.0,False
F115413,2024-01-01,C01737,S99,P0066,13,0.89,0.0,False
F115459,2024-01-01,C01745,S05,P0038,9,4.33,0.0,False
F115459,2024-01-01,C01745,S05,P0004,36,0.95,0.05,False
F115459,2024-01-01,C01745,S05,P0054,20,2.84,0.0,False
F115459,2024-01-01,C01745,S05,P0063,21,1.03,0.0,False
F100407,2024-01-02,C00038,S01,P0004,1,0.95,0.0,False
F100407,2024-01-02,C00038,S01,P0040,1,4.21,0.0,False
F100407,2024-01-02,C00038,S01,P0052,2,2.46,0.0,False
F100407,2024-01-02,C00038,S01,P0001,3,1.12,0.05,False
F100407,2024-01-02,C00038,S01,P0024,1,1.95,0.0,False
F101063,2024-01-02,C00114,S03,P0001,39,1.12,0.0,False
F101063,2024-01-02,C00114,S03,P0051,35,1.9,0.0,False
F101063,2024-01-02,C00114,S03,P0073,11,1.17,0.15,False
F101063,2024-01-02,C00114,S03,P0054,46,2.84,0.1,False
F101063,2024-01-02,C00114,S03,P0040,25,4.21,0.0,False
F101063,2024-01-02,C00114,S03,P0027,24,3.19,0.1,False
F101397,2024-01-02,C00152,S99,P0040,3,4.21,0.0,False
F101397,2024-01-02,C00152,S99,P0048,4,2.82,0.0,False
F101397,2024-01-02,C00152,S99,P0062,1,4.26,0.0,False
F101397,2024-01-02,C00152,S99,P0048,2,2.82,0.0,False
F101397,2024-01-02,C00152,S99,P0022,2,1.55,0.0,False
F104327,2024-01-02,C00500,S01,P0054,46,2.84,0.0,False
F104327,2024-01-02,C00500,S01,P0042,43,3.98,0.0,False
F104327,2024-01-02,C00500,S01,P0015,37,1.38,0.0,False
F104327,2024-01-02,C00500,S01,P0053,51,2.67,0.0,False
F104327,2024-01-02,C00500,S01,P0050,44,3.0,0.0,False
F104327,2024-01-02,C00500,S01,P0029,32,2.85,0.0,False
F104741,2024-01-02,C00548,S01,P0063,1,1.03,0.0,False
F104741,2024-01-02,C00548,S01,P0031,4,2.52,0.0,False
F104741,2024-01-02,C00548,S01,P0025,3,1.36,0.0,False
F104741,2024-01-02,C00548,S01,P0043,1,4.18,0.0,False
F104741,2024-01-02,C00548,S01,P0001,3,1.12,0.05,False
F104741,2024-01-02,C00548,S01,P0019,2,1.37,0.1,False
F105720,2024-01-02,C00643,S02,P0067,3,0.97,0.0,False
F105720,2024-01-02,C00643,S02,P0004,2,0.95,0.1,False
F105720,2024-01-02,C00643,S02,P0035,2,1.74,0.0,False
F105720,2024-01-02,C00643,S02,P0010,1,0.65,0.0,False
F105720,2024-01-02,C00643,S02,P0057,2,4.91,0.15,False
F105720,2024-01-02,C00643,S02,P0072,3,1.18,0.0,False
F105799,2024-01-02,C00650,S01,P0049,38,3.66,0.0,False
F105799,2024-01-02,C00650,S01,P0052,49,2.46,0.1,False
F105799,2024-01-02,C00650,S01,P0052,57,2.46,0.0,False
F105799,2024-01-02,C00650,S01,P0032,32,2.15,0.0,False
F106593,2024-01-02,C00743,S01,P0044,2,2.91,0.15,False
F106593,2024-01-02,C00743,S01,P0063,4,1.03,0.0,False
F106593,2024-01-02,C00743,S01,P0034,3,2.12,0.0,False
F106593,2024-01-02,C00743,S01,P0057,1,4.91,0.0,False
F109298,2024-01-02,C01051,S02,P0004,4,0.95,0.0,False
F109298,2024-01-02,C01051,S02,P0001,4,1.12,0.0,False
F109298,2024-01-02,C01051,S02,P0043,3,4.18,0.0,False
F109298,2024-01-02,C01051,S02,P0050,1,3.0,0.1,False
F109298,2024-01-02,C01051,S02,P0046,2,2.73,0.0,False
F109314,2024-01-02,C01052,S01,P0028,1,3.42,0.05,False
F109314,2024-01-02,C01052,S01,P0017,4,1.51,0.0,False
F109314,2024-01-02,C01052,S01,P0066,4,0.89,0.0,False
F109314,2024-01-02,C01052,S01,P0010,3,0.65,0.05,False
F109424,2024-01-02,C01059,S99,P0051,1,1.9,0.0,False
F109424,2024-01-02,C01059,S99,P0062,3,4.26,0.0,False
F109424,2024-01-02,C01059,S99,P0040,2,4.21,0.0,False
F110456,2024-01-02,C01170,S03,P0019,4,1.37,0.0,False
F110456,2024-01-02,C01170,S03,P0023,1,1.55,0.0,False
F110456,2024-01-02,C01170,S03,P0047,1,2.65,0.0,False
F110456,2024-01-02,C01170,S03,P0011,3,0.79,0.0,False
F110456,2024-01-02,C01170,S03,P0045,3,2.8,0.0,False
F111647,2024-01-02,C01335,S02,P0001,43,1.12,0.0,False
F111647,2024-01-02,C01335,S02,P0032,48,2.15,0.0,False
F111647,2024-01-02,C01335,S02,P0023,20,1.55,0.0,False
F111647,2024-01-02,C01335,S02,P0044,46,2.91,0.05,False
F111647,2024-01-02,C01335,S02,P0040,24,4.21,0.0,False
F111647,2024-01-02,C01335,S02,P0059,25,5.91,0.0,False
F111647,2024-01-02,C01335,S02,P0072,12,1.18,0.0,False
F111647,2024-01-02,C01335,S02,P0023,38,1.55,0.05,False
F112648,2024-01-02,C01447,S99,P0013,2,0.86,0.0,False
F112648,2024-01-02,C01447,S99,P0007,3,0.76,0.0,False
F112648,2024-01-02,C01447,S99,P0063,4,1.03,0.05,False
F114183,2024-01-02,C01614,S04,P0053,2,2.67,0.0,False
F114183,2024-01-02,C01614,S04,P0029,3,2.85,0.05,False
F114183,2024-01-02,C01614,S04,P0071,1,1.12,0.1,False
F114183,2024-01-02,C01614,S04,P0061,4,4.14,0.0,False
F114183,2024-01-02,C01614,S04,P0060,2,5.04,0.0,False
F114183,2024-01-02,C01614,S04,P0026,1,2.52,0.0,False
F102771,2024-01-03,C00313,S99,P0023,2,1.55,0.05,False
F102771,2024-01-03,C00313,S99,P0072,4,1.18,0.0,False
F103157,2024-01-03,C00360,S05,P0032,1,2.15,0.0,False
F103157,2024-01-03,C00360,S05,P0024,2,1.95,0.0,False
F103157,2024-01-03,C00360,S05,P0067,4,0.97,0.0,False
F103157,2024-01-03,C00360,S05,P0024,1,1.95,0.0,False
F105943,2024-01-03,C00665,S01,P0073,1,1.17,0.0,False
F105943,2024-01-03,C00665,S01,P0008,3,0.89,0.0,False
F105943,2024-01-03,C00665,S01,P0003,4,1.1,0.0,False
F105943,2024-01-03,C00665,S01,P0049,2,3.66,0.0,False
F105943,2024-01-03,C00665,S01,P0061,2,4.14,0.15,False
F106581,2024-01-03,C00741,S99,P0046,4,2.73,0.0,False
F106581,2024-01-03,C00741,S99,P0032,2,2.15,0.0,False
F106581,2024-01-03,C00741,S99,P0065,1,1.05,0.0,False
F108590,2024-01-03,C00966,S01,P0009,45,0.81,0.0,False
F108590,2024-01-03,C00966,S01,P0070,11,1.02,0.0,False
F108590,2024-01-03,C00966,S01,P0067,9,0.97,0.0,False
F108590,2024-01-03,C00966,S01,P0061,9,4.14,0.0,False
F108590,2024-01-03,C00966,S01,P0021,23,1.53,0.0,False
F108590,2024-01-03,C00966,S01,P0074,18,1.01,0.0,False
F108590,2024-01-03,C00966,S01,P0001,29,1.12,0.0,False
F108590,2024-01-03,C00966,S01,P0069,53,0.9,0.0,False
F108590,2024-01-03,C00966,S01,P0012,45,0.63,0.1,False
F111316,2024-01-03,C01276,S99,P0070,2,1.02,0.0,False
F111316,2024-01-03,C01276,S99,P0058,2,4.82,0.0,False
F111316,2024-01-03,C01276,S99,P0032,1,2.15,0.0,False
F115594,2024-01-03,C01761,S99,P0002,4,1.04,0.05,False
F115594,2024-01-03,C01761,S99,P0015,4,1.38,0.0,False
F115594,2024-01-03,C01761,S99,P0019,2,1.37,0.0,False
F115594,2024-01-03,C01761,S99,P0056,1,5.86,0.05,False
F115594,2024-01-03,C01761,S99,P0052,1,2.46,0.1,False
F115730,2024-01-03,C01775,S05,P0015,49,1.38,0.05,False
F115730,2024-01-03,C01775,S05,P0043,39,4.18,0.0,False
F101389,2024-01-04,C00152,S99,P0035,2,1.74,0.0,False
